 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

CREATE INDEX
   id    |                person                | bibtex |        orcid        | label | type 
---------+--------------------------------------+--------+---------------------+-------+------
       7 | Johnny Park                          |        |                     |       | 
      72 | John Wright 0001                     |        |                     |       | 
      78 | John N. Carter                       |        |                     |       | 
     238 | John W. Morley                       |        |                     |       | 
     336 | John Milton                          |        |                     |       | 
     431 | John J. Guinan                       |        |                     |       | 
     474 | John Bekkers                         |        |                     |       | 
     572 | John E. Lewis                        |        |                     |       | 
     604 | John Barrett                         |        |                     |       | 
     712 | John P. Miller 0001                  |        |                     |       | 
     713 | John Keyser                          |        |                     |       | 
     776 | John Rinzel                          |        |                     |       | 
     855 | John Langton                         |        |                     |       | 
     958 | John Black                           |        |                     |       | 
    1053 | John Ioannidis                       |        |                     |       | 
    1365 | John W. Goodby                       |        |                     |       | 
    1472 | John W. Mullennix                    |        |                     |       | 
    1783 | John H. Cozzens                      |        |                     |       | 
    1899 | John O. Wylder                       |        |                     |       | 
    1938 | John R. Vacca                        |        |                     |       | 
    2288 | John F. Buford                       |        |                     |       | 
    2322 | John Dorf                            |        |                     |       | 
    2355 | John Case                            |        |                     |       | 
    2422 | John Lloyd                           |        |                     |       | 
    2452 | John Langford 0001                   |        |                     |       | 
    2458 | John Risch                           |        | 0000-0001-9355-1423 |       | 
    2574 | John Rusk                            |        |                     |       | 
    2617 | John Burton                          |        |                     |       | 
    2629 | John Steven                          |        |                     |       | 
    2650 | John McManus                         |        |                     |       | 
    2716 | John Mathenge Kanyaru                |        |                     |       | 
    2801 | John Mayfield 0001                   |        | 0000-0001-5063-6160 |       | 
    3251 | John Hershberger 0001                |        |                     |       | 
    3291 | John Tromp                           |        |                     |       | 
    3596 | John Vargo                           |        |                     |       | 
    3623 | John A. Miller                       |        |                     |       | 
    3652 | John-Paul Hosom                      |        |                     |       | 
    3778 | John H. Heinrichs                    |        |                     |       | 
    3942 | John H. Reif                         |        |                     |       | 
    3948 | John R. Wilson                       |        |                     |       | 
    4020 | John P. Wann                         |        |                     |       | 
    4250 | John W. Paisley                      |        |                     |       | 
    4261 | John T. Stasko                       |        |                     |       | 
    4278 | John D. Kemp                         |        |                     |       | 
    4439 | John Waclawsky                       |        |                     |       | 
    4549 | John G. Michaels                     |        |                     |       | 
    4655 | Johnatan E. Pecero                   |        |                     |       | 
    4800 | John Regehr                          |        |                     |       | 
    4831 | John Feo                             |        |                     |       | 
    4903 | John J. Kanet                        |        |                     |       | 
    4978 | John Lillis                          |        |                     |       | 
    5050 | John Keeney                          |        |                     |       | 
    5079 | John Carpenter                       |        |                     |       | 
    5265 | John A. Stankovic                    |        |                     |       | 
    5350 | John T. Richards                     |        |                     |       | 
    5690 | John Sparrow                         |        |                     |       | 
    5706 | John S. Edwards                      |        |                     |       | 
    5761 | John Grant                           |        |                     |       | 
    5794 | John Zeleznikow                      |        |                     |       | 
    5875 | John Mellor                          |        |                     |       | 
    5956 | John Daugman                         |        |                     |       | 
    5971 | John W. M. Campbell                  |        |                     |       | 
    6079 | John S. D. Mason                     |        |                     |       | 
    6300 | John R. Drake                        |        |                     |       | 
    6320 | John Wang                            |        |                     |       | 
    6408 | John G. Hedberg                      |        |                     |       | 
    6472 | John H. L. Hansen                    |        |                     |       | 
    6620 | John Linn                            |        |                     |       | 
    6688 | John F. Dillenburg                   |        |                     |       | 
    6698 | John Paul Loucky                     |        |                     |       | 
    6728 | John-Jules Ch. Meyer                 |        |                     |       | 
    6736 | John S. Fitzgerald                   |        |                     |       | 
    6803 | John D. Westbrook                    |        | 0000-0002-6686-5475 |       | 
    7087 | John S. Kinnebrew                    |        |                     |       | 
    7201 | John M. Artz                         |        |                     |       | 
    7282 | John Handley                         |        |                     |       | 
    7290 | John Francis Kros                    |        |                     |       | 
    7482 | John F. Roddick                      |        |                     |       | 
    7595 | John O`Donoghue                      |        |                     |       | 
    7775 | John Domingue                        |        |                     |       | 
    8539 | John Davies                          |        |                     |       | 
    8546 | John G. Breslin                      |        | 0000-0001-5790-050X |       | 
    8583 | John L. G. Board                     |        |                     |       | 
    8673 | John E. Straub                       |        |                     |       | 
    8694 | John L. Nazareth                     |        |                     |       | 
    8700 | John M. Mulvey                       |        |                     |       | 
    8835 | John R. Birge                        |        | 0000-0002-7446-0953 |       | 
    8905 | John N. Hooker                       |        |                     |       | 
    8957 | John E. Mitchell 0001                |        |                     |       | 
    9005 | John L. Klepeis                      |        |                     |       | 
    9030 | John E. Beasley                      |        |                     |       | 
    9108 | John M. Berrisford                   |        | 0000-0003-4442-5871 |       | 
    9500 | John-James Wilson                    |        | 0000-0002-3583-3550 |       | 
   10089 | John W. Mohr                         |        |                     |       | 
   10674 | John Anderson                        |        |                     |       | 
   10694 | John Impagliazzo                     |        |                     |       | 
   10760 | John Field                           |        |                     |       | 
   10781 | John Ravenscroft                     |        |                     |       | 
   10868 | John Lygeros                         |        |                     |       | 
   10913 | John Baillieul                       |        |                     |       | 
   10935 | John M. Wassick                      |        |                     |       | 
   11180 | John Wang 0001                       |        |                     |       | 
   11357 | John Quackenbush                     |        |                     |       | 
   11806 | John J. Mewes                        |        |                     |       | 
   11824 | John Melack                          |        |                     |       | 
   11886 | John G. Stell                        |        |                     |       | 
   11894 | John D. Evans                        |        |                     |       | 
   12034 | John S. Kimball                      |        |                     |       | 
   12182 | Johnny A. Johannessen                |        |                     |       | 
   12222 | John O. Gray                         |        |                     |       | 
   12350 | John D. Lee                          |        |                     |       | 
