 id |     person     | bibtex | orcid | label | type | relation_id |  role  | person_id |        publication_id         |              key              |     type      |   mdate    |   publtype   | reviewid | rating | cdate | address |             booktitle              |     pages     | year |                       journal                       |     volume     | number | month |                          url                          |                                            ee                                            | school | publisher | note | cdrom |       crossref        | isbn | chapter | publnr 
----+----------------+--------+-------+-------+------+-------------+--------+-----------+-------------------------------+-------------------------------+---------------+------------+--------------+----------+--------+-------+---------+------------------------------------+---------------+------+-----------------------------------------------------+----------------+--------+-------+-------------------------------------------------------+------------------------------------------------------------------------------------------+--------+-----------+------+-------+-----------------------+------+---------+--------
  5 | Kazuhiro Fukui |        |       |       |      |           5 | author |         5 | reference/vision/Fukui14      | reference/vision/Fukui14      | incollection  | 2017-07-12 | encyclopedia |          |        |       |         | Computer Vision; A Reference Guide | 777-781       | 2014 |                                                     |                |        |       | db/reference/vision/vision2014.html#Fukui14           | https://doi.org/10.1007/978-0-387-31439-6_708                                            |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |      820408 | author |         5 | conf/wacv/FukuiNK92           | conf/wacv/FukuiNK92           | inproceedings | 2021-04-09 |              |          |        |       |         | WACV                               | 19-27         | 1992 |                                                     |                |        |       | db/conf/wacv/wacv1992.html#FukuiNK92                  | https://doi.org/10.1109/ACV.1992.240331                                                  |        |           |      |       | conf/wacv/1992        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     2681100 | author |         5 | conf/eccv/NakashimaMF02       | conf/eccv/NakashimaMF02       | inproceedings | 2017-05-19 |              |          |        |       |         | ECCV (3)                           | 195-209       | 2002 |                                                     |                |        |       | db/conf/eccv/eccv2002-3.html#NakashimaMF02            | https://doi.org/10.1007/3-540-47977-5_13                                                 |        |           |      |       | conf/eccv/2002-3      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3124922 | author |         5 | conf/accv/FukuiY07            | conf/accv/FukuiY07            | inproceedings | 2017-05-21 |              |          |        |       |         | ACCV (2)                           | 467-476       | 2007 |                                                     |                |        |       | db/conf/accv/accv2007-2.html#FukuiY07                 | https://doi.org/10.1007/978-3-540-76390-1_46                                             |        |           |      |       | conf/accv/2007-2      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3125882 | author |         5 | conf/accv/IgarashiF10         | conf/accv/IgarashiF10         | inproceedings | 2017-05-21 |              |          |        |       |         | ACCV (4)                           | 580-591       | 2010 |                                                     |                |        |       | db/conf/accv/accv2010-4.html#IgarashiF10              | https://doi.org/10.1007/978-3-642-19282-1_46                                             |        |           |      |       | conf/accv/2010-4      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3127650 | author |         5 | conf/accv/LiFZ09              | conf/accv/LiFZ09              | inproceedings | 2021-09-23 |              |          |        |       |         | ACCV (1)                           | 323-332       | 2009 |                                                     |                |        |       | db/conf/accv/accv2009-1.html#LiFZ09                   | https://doi.org/10.1007/978-3-642-12307-8_30                                             |        |           |      |       | conf/accv/2009-1      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3129718 | author |         5 | conf/accv/AkihiroF10          | conf/accv/AkihiroF10          | inproceedings | 2017-05-21 |              |          |        |       |         | ACCV Workshops (2)                 | 374-383       | 2010 |                                                     |                |        |       | db/conf/accv/accv2010-w2.html#AkihiroF10              | https://doi.org/10.1007/978-3-642-22819-3_38                                             |        |           |      |       | conf/accv/2010-w2     |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3131036 | author |         5 | conf/accv/FukuiSY06           | conf/accv/FukuiSY06           | inproceedings | 2017-05-21 |              |          |        |       |         | ACCV (2)                           | 315-324       | 2006 |                                                     |                |        |       | db/conf/accv/accv2006-2.html#FukuiSY06                | https://doi.org/10.1007/11612704_32                                                      |        |           |      |       | conf/accv/2006-2      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3131294 | author |         5 | conf/accv/NosakaSF12          | conf/accv/NosakaSF12          | inproceedings | 2019-12-27 |              |          |        |       |         | ACCV Workshops (1)                 | 15-25         | 2012 |                                                     |                |        |       | db/conf/accv/accv2012-w1.html#NosakaSF12              | https://doi.org/10.1007/978-3-642-37410-4_2                                              |        |           |      |       | conf/accv/2012-w1     |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3133434 | author |         5 | conf/accv/SouzaHF16           | conf/accv/SouzaHF16           | inproceedings | 2018-11-02 |              |          |        |       |         | ACCV Workshops (3)                 | 345-359       | 2016 |                                                     |                |        |       | db/conf/accv/accv2016-w3.html#SouzaHF16               | https://doi.org/10.1007/978-3-319-54526-4_26                                             |        |           |      |       | conf/accv/2016-w3     |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3480288 | author |         5 | conf/mva/LiF07                | conf/mva/LiF07                | inproceedings | 2020-03-12 |              |          |        |       |         | MVA                                | 227-230       | 2007 |                                                     |                |        |       | db/conf/mva/mva2007.html#LiF07                        | http://b2.cvl.iis.u-tokyo.ac.jp/mva/proceedings/2007CD/papers/08-01.pdf                  |        |           |      |       | conf/mva/2007         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3480764 | author |         5 | conf/mva/YahiaBBF23           | conf/mva/YahiaBBF23           | inproceedings | 2023-08-29 |              |          |        |       |         | MVA                                | 1-5           | 2023 |                                                     |                |        |       | db/conf/mva/mva2023.html#YahiaBBF23                   | https://doi.org/10.23919/MVA57639.2023.10215631                                          |        |           |      |       | conf/mva/2023         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3480892 | author |         5 | conf/mva/ShimomotoSGF19       | conf/mva/ShimomotoSGF19       | inproceedings | 2022-01-03 |              |          |        |       |         | MVA                                | 1-6           | 2019 |                                                     |                |        |       | db/conf/mva/mva2019.html#ShimomotoSGF19               | https://doi.org/10.23919/MVA.2019.8757876                                                |        |           |      |       | conf/mva/2019         |      |         | 
